date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:08:04	162427/162427	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20May%202024%2001:08:03%20GMT	https://sites.google.com/view/lightspeedfiltersucks	C:/My%20Web%20Sites/sigmaaaaa/sites.google.com/view/lightspeedfiltersucks.html	(from )
21:08:05	77/77	---MCZ	200	added ('OK')	text/plain	date:Sat,%2004%20May%202024%2001:08:03%20GMT	https://sites.google.com/robots.txt		(from )
21:08:05	297036/297036	---M--	200	added ('OK')	image/png	date:Tue,%2027%20Jun%202023%2004:48:00%20GMT	https://ssl.gstatic.com/atari/images/simple-header-blended-small.png	C:/My%20Web%20Sites/sigmaaaaa/ssl.gstatic.com/atari/images/simple-header-blended-small.png	(from https://sites.google.com/view/lightspeedfiltersucks)
21:08:05	15101/15101	---M--	200	added ('OK')	text/javascript	etag:%223767fe962befa4de%22	https://apis.google.com/js/client.js?onload=gapiLoaded	C:/My%20Web%20Sites/sigmaaaaa/apis.google.com/js/clientc932.js	(from https://sites.google.com/view/lightspeedfiltersucks)
21:08:05	162464/162464	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20May%202024%2001:08:04%20GMT	https://sites.google.com/view/lightspeedfiltersucks/home	C:/My%20Web%20Sites/sigmaaaaa/sites.google.com/view/lightspeedfiltersucks/home.html	(from https://sites.google.com/view/lightspeedfiltersucks)
21:08:06	139049/139049	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20May%202024%2001:08:04%20GMT	https://sites.google.com/view/lightspeedfiltersucks/home/report-a-problem-or-request-a-game	C:/My%20Web%20Sites/sigmaaaaa/sites.google.com/view/lightspeedfiltersucks/home/report-a-problem-or-request-a-game.html	(from https://sites.google.com/view/lightspeedfiltersucks)
21:08:06	164564/164564	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20May%202024%2001:08:05%20GMT	https://sites.google.com/view/lightspeedfiltersucks/home/popular-games	C:/My%20Web%20Sites/sigmaaaaa/sites.google.com/view/lightspeedfiltersucks/home/popular-games.html	(from https://sites.google.com/view/lightspeedfiltersucks)
21:08:06	146705/146705	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20May%202024%2001:08:05%20GMT	https://sites.google.com/view/lightspeedfiltersucks/home/tos	C:/My%20Web%20Sites/sigmaaaaa/sites.google.com/view/lightspeedfiltersucks/home/tos.html	(from https://sites.google.com/view/lightspeedfiltersucks)
21:08:07	140591/140591	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20May%202024%2001:08:05%20GMT	https://sites.google.com/view/lightspeedfiltersucks/home/this-site-knows-everything	C:/My%20Web%20Sites/sigmaaaaa/sites.google.com/view/lightspeedfiltersucks/home/this-site-knows-everything.html	(from https://sites.google.com/view/lightspeedfiltersucks)
21:08:07	142316/142316	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20May%202024%2001:08:05%20GMT	https://sites.google.com/view/lightspeedfiltersucks/home/partners	C:/My%20Web%20Sites/sigmaaaaa/sites.google.com/view/lightspeedfiltersucks/home/partners.html	(from https://sites.google.com/view/lightspeedfiltersucks)
21:08:07	145490/145490	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20May%202024%2001:08:06%20GMT	https://sites.google.com/view/lightspeedfiltersucks/home/anonymous-mode	C:/My%20Web%20Sites/sigmaaaaa/sites.google.com/view/lightspeedfiltersucks/home/anonymous-mode.html	(from https://sites.google.com/view/lightspeedfiltersucks)
21:08:07	147760/147760	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20May%202024%2001:08:06%20GMT	https://sites.google.com/view/lightspeedfiltersucks/tools/teacher-watch	C:/My%20Web%20Sites/sigmaaaaa/sites.google.com/view/lightspeedfiltersucks/tools/teacher-watch.html	(from https://sites.google.com/view/lightspeedfiltersucks)
21:08:08	143344/143344	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20May%202024%2001:08:06%20GMT	https://sites.google.com/view/lightspeedfiltersucks/just-fall-io	C:/My%20Web%20Sites/sigmaaaaa/sites.google.com/view/lightspeedfiltersucks/just-fall-io.html	(from https://sites.google.com/view/lightspeedfiltersucks)
21:08:08	143349/143349	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20May%202024%2001:08:07%20GMT	https://sites.google.com/view/lightspeedfiltersucks/roblox-obby	C:/My%20Web%20Sites/sigmaaaaa/sites.google.com/view/lightspeedfiltersucks/roblox-obby.html	(from https://sites.google.com/view/lightspeedfiltersucks)
21:08:08	134253/134253	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20May%202024%2001:08:07%20GMT	https://sites.google.com/view/lightspeedfiltersucks/clash-of-clans	C:/My%20Web%20Sites/sigmaaaaa/sites.google.com/view/lightspeedfiltersucks/clash-of-clans.html	(from https://sites.google.com/view/lightspeedfiltersucks)
21:08:09	134218/134218	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20May%202024%2001:08:07%20GMT	https://sites.google.com/view/lightspeedfiltersucks/brawl-stars	C:/My%20Web%20Sites/sigmaaaaa/sites.google.com/view/lightspeedfiltersucks/brawl-stars.html	(from https://sites.google.com/view/lightspeedfiltersucks)
21:08:09	143510/143510	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20May%202024%2001:08:08%20GMT	https://sites.google.com/view/lightspeedfiltersucks/fortnite	C:/My%20Web%20Sites/sigmaaaaa/sites.google.com/view/lightspeedfiltersucks/fortnite.html	(from https://sites.google.com/view/lightspeedfiltersucks)
21:08:09	134294/134294	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20May%202024%2001:08:08%20GMT	https://sites.google.com/view/lightspeedfiltersucks/super-mario-bros-3	C:/My%20Web%20Sites/sigmaaaaa/sites.google.com/view/lightspeedfiltersucks/super-mario-bros-3.html	(from https://sites.google.com/view/lightspeedfiltersucks)
21:08:10	134311/134311	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20May%202024%2001:08:08%20GMT	https://sites.google.com/view/lightspeedfiltersucks/pok%c3%a9mon-sapphire	C:/My%20Web%20Sites/sigmaaaaa/sites.google.com/view/lightspeedfiltersucks/pok%c3%a9mon-sapphire.html	(from https://sites.google.com/view/lightspeedfiltersucks)
21:08:10	143617/143617	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20May%202024%2001:08:08%20GMT	https://sites.google.com/view/lightspeedfiltersucks/1v1-lol	C:/My%20Web%20Sites/sigmaaaaa/sites.google.com/view/lightspeedfiltersucks/1v1-lol.html	(from https://sites.google.com/view/lightspeedfiltersucks)
21:08:10	134353/134353	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20May%202024%2001:08:09%20GMT	https://sites.google.com/view/lightspeedfiltersucks/apple-worm	C:/My%20Web%20Sites/sigmaaaaa/sites.google.com/view/lightspeedfiltersucks/apple-worm.html	(from https://sites.google.com/view/lightspeedfiltersucks)
